Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
785,Tolstoy Foundation Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,01/01/1901,100 Lake Road,,Valley Cottage,New York,10989,8452689339,,,43,Rockland,6,Metropolitan Area Regional Office - New Rochelle,,,4350301N,Tolstoy Foundation Nursing Home Company Inc,Lake Road,,Valley Cottage,New York,10989,,,,,New York,,Not for Profit Corporation,41.124378,-73.932076,"(41.124378, -73.932076)"
1753,Silver Lake Specialized Rehabilitation and Care Center,NH,Residential Health Care Facility - SNF,08/01/1979,275 Castleton Avenue,,Staten Island,New York,10301,7184477800,,,7097,Richmond,5,Metropolitan Area Regional Office - New York City,,,7004323N,"Silver Lake Specialized Rehabilitation and Care Center, LLC",275 Castleton Avenue,,Staten Island,New York,10301,,,,,New York,,LLC,40.633396,-74.092171,"(40.633396, -74.092171)"
6355,Laura M. Sharp Elementary School,,School Based Diagnostic and Treatment Center Extension Clinic,03/06/2002,2 Hinman Road,,Pulaski,New York,13142,3152985188,,,37,Oswego,3,Central New York Regional Office,ConnextCare,738,3726201R,Northern Oswego County Health Services Inc,61 Delano Street,,Pulaski,New York,13142,,,,,New York,,Not for Profit Corporation,43.571228,-76.136185,"(43.571228, -76.136185)"
15470,P.S. 025 Bilingual School,HOSP-SB,School Based Hospital Extension Clinic,07/13/2023,811 East 149th Street,,Bronx,New York,10455,,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,,,
12731,Companions Plus Inc.,LHCSA,Licensed Home Care Services Agency,08/08/2016,1345 Avenue of the Americas,"33rd Floor, Suite 120",New York,New York,10105,9292982240,9292982241,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,1054L002,Companions Plus Inc.,2100 Deer Park Avenue,Suite 1B,Deer Park,New York,11729,,,,,New York,,Business Corporation,40.752987,-73.979048,"(40.752987, -73.979048)"
13814,"Caring Hands Home Care, Inc.",LHCSA,Licensed Home Care Services Agency,01/03/2017,222-15 Northern Boulevard,,Bayside,New York,11361,7182251414,7182251415,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,9370L002,"Caring Hands Home Care, Inc.",263 Blue Point Avenue,,Blue Point,New York,11715,,,,,New York,,Business Corporation,40.762216,-73.759039,"(40.762216, -73.759039)"
14838,The Bristal at North Hills,EHP,Enriched Housing Program,03/31/2006,99 South Service Road,,North Hills,New York,11040,5162333100,5162333300,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,400-S-309,"Engel Burman Senior Housing at North Hills, Inc.",99 South Service Road,,North Hills,New York,11040-1055,,,,,New York,,Business Corporation,40.771042,-73.686638,"(40.771042, -73.686638)"
13258,Elderwood Home Care At Hamburg,LHCSA,Licensed Home Care Services Agency,07/28/2013,76 Buffalo Street,,Hamburg,New York,10475,7166497676,7166485670,,14,Erie,1,Western Regional Office - Buffalo,,,2030L001,"76 Buffalo Street Operating Company, Llc",76 Buffalo Street,,Hamburg,New York,10475,,,,,New York,,LLC,42.718304,-78.829423,"(42.718304, -78.829423)"
9135,Good Shepherd Village at Endwell,NH,Residential Health Care Facility - SNF,04/12/2010,14 Village Drive,,Endwell,New York,13760,6077573102,6077573103,,3,Broome,3,Central New York Regional Office,,,0363301N,"Good Shepherd at Endwell, Inc.",80 Fairview Avenue,,Binghamton,New York,13904,,,,,New York,,Not for Profit Corporation,42.147995,-76.021034,"(42.147995, -76.021034)"
4802,Planned Parenthood Hudson Peconic - Spring Valley,DTC-EC,Diagnostic and Treatment Center Extension Clinic,01/26/1998,25 Perlman Dr,,Spring Valley,New York,10977,8454267577,,,43,Rockland,6,Metropolitan Area Regional Office - New Rochelle,"Planned Parenthood Hudson Peconic, Inc",1049,5902208R,"Planned Parenthood Hudson Peconic, Inc.",570 Taxter Road,Suite 250,Elmsford,New York,10523,,,,,New York,,Not for Profit Corporation,,,
81,Salamanca Rehabilitation & Nursing Center,NH,Residential Health Care Facility - SNF,02/01/1989,451 Broad Street,,Salamanca,New York,14779,7169451800,,,4,Cattaraugus,1,Western Regional Office - Buffalo,,,0433304N,"SARNC Operating, LLC",451 Broad Street,,Salamanca,New York,14779,,,,,New York,,LLC,42.157581,-78.732101,"(42.157581, -78.732101)"
5716,Highlands Living Center,NH,Residential Health Care Facility - SNF,06/29/1995,500 Hahnemann Trail,,Pittsford,New York,14534,5853831700,,,27,Monroe,2,Western Regional Office - Rochester,,,2763300N,Highlands Living Center Inc,500 Hahnemann Trail,,Pittsford,New York,14534,"Strong Partners Health System, Inc.",601 Elmwood Avenue,,Rochester,New York,14642,Not for Profit Corporation,43.087677,-77.49865,"(43.087677, -77.49865)"
13082,Westchester Home Care,LHCSA,Licensed Home Care Services Agency,10/26/2011,75 Stratton Street South,,Yonkers,New York,10701,9147877400,9143083035,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,1747L001,"Westchester Lhcsa Management, Llc",141-16 72nd Avenue,,Flushing,New York,10701,,,,,New York,,LLC,40.94294,-73.875982,"(40.94294, -73.875982)"
14623,"Rebekah Rehab Assisted Living Program, Inc.",EHP,Enriched Housing Program,11/30/2020,1050 Havemeyer Avenue,,Bronx,New York,10462,7188636200,9145302170,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,020-S-005,"Rebekah Rehab Assisted Living Program, Inc.",1050 Havemeyer Avenue,,Bronx,New York,10462,,,,,New York,,Not for Profit Corporation,40.829869,-73.847294,"(40.829869, -73.847294)"
14857,NY Found-Sr Citizens EHP#5 Clinton Gardens,EHP,Enriched Housing Program,05/12/1993,404-412 W. 54 St.- Clinton Gardens,,New York,New York,10019,2124899339,2124899332,www.nyfsc.org#http://www.nyfsc.org#,7093,New York,5,Metropolitan Area Regional Office - New York City,,,420-S-376,"New York Foundation for Senior Citizens, Inc.","11 Park Place, 14th Floor",,New York,New York,10007-2801,,,,,New York,,Not for Profit Corporation,40.766074,-73.990123,"(40.766074, -73.990123)"
2848,Mary Walker Health Center Clinic,DTC-EC,Diagnostic and Treatment Center Extension Clinic,01/01/1901,SUNY Oswego,,Oswego New York,New York,13126,3153422365,,,37,Oswego,3,Central New York Regional Office,Oswego County Opportunities Inc,729,3702200R,Oswego County Opportunities Inc,223 Oneida Street,,Fulton,New York,13069,,,,,New York,,Not for Profit Corporation,43.454305,-76.544068,"(43.454305, -76.544068)"
159,Cortland County Department of Health,DTC,Diagnostic and Treatment Center,09/27/1979,60 Central Avenue,,Cortland,New York,13045,6077535135,,,11,Cortland,3,Central New York Regional Office,,,1101200R,Cortland County,60 Central Avenue,,Cortland,New York,13045,,,,,New York,,County,42.6003,-76.176697,"(42.6003, -76.176697)"
7538,Is286/172,,School Based Diagnostic and Treatment Center Extension Clinic,02/24/1997,509 W 129th Street,,New York,New York,10037,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Renaissance Health Care Network,4408,7002136R,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,"Gotham Health FQHC, Inc.",Care of NYC Health and Hospital Corp.,125 Worth Street,New York,New York,10013,Municipality,40.815258,-73.955193,"(40.815258, -73.955193)"
1146,Sunshine Children's Home and Rehab Center,NH,Residential Health Care Facility - SNF,01/01/1901,15 Spring Valley Road,,Ossining,New York,10562,9143337061,,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5961303N,"MSAF Group, LLC",15 Spring Valley Road,,Ossining,New York,10562,,,,,New York,,LLC,41.191959,-73.852051,"(41.191959, -73.852051)"
13216,Home Instead Senior Care,LHCSA,Licensed Home Care Services Agency,06/07/2014,650 Franklin Street,Suite 301,Schenectady,New York,12305,5183466769,5183466766,,46,Schenectady,4,Capital District Regional Office,,,1969L001,"J&A Hurley, Inc.",650 Franklin Street,Suite 301,Schenectady,New York,12305,,,,,New York,,Business Corporation,42.811936,-73.937313,"(42.811936, -73.937313)"
13954,Van Wyck Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,10/21/2020,91-30 Van Wyck Expressway,,Jamaica,New York,11418,7185584382,,,7096,Queens,5,Metropolitan Area Regional Office - New York City,Bronx Dialysis Center,6661,7000272R,"Knickerbocker Dialysis, Inc",1615-1617 Eastchester Road,,Bronx,New York,10461,,,,,New York,,Business Corporation,40.698763,-73.815544,"(40.698763, -73.815544)"
13530,Right At Home Northern Westchester,LHCSA,Licensed Home Care Services Agency,12/18/2017,185 Kisco Avenue,Suite 403,Mount Kisco,New York,10549,9148640588,9148640589,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,2497L001,"Mathews Homecare, Inc.",185 Kisco Avenue,Suite 403,Mount Kisco,New York,10549,,,,,New York,,Business Corporation,41.214942,-73.725355,"(41.214942, -73.725355)"
4473,Good Shepherd Hospice,HSPC,Hospice,09/01/2002,"110 Bi-County Boulevard, Suite 114",,Farmingdale,New York,11735,6314656300,6314656533,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,5151501F,Good Shepherd Hospice,110 Bi-County Boulevard,Suite 114,Farmingdale,New York,11735,,,,,New York,,Not for Profit Corporation,40.725994,-73.428329,"(40.725994, -73.428329)"
5630,North Shore Home Care,CHHA,Certified Home Health Agency,04/06/1995,972 Brush Hollow Road,,Westbury,New York,11590,5168765300,5168765284,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2914601,North Shore University Hospital Inc,300 Community Drive,,Manhasset,New York,11030,"Northwell Healthcare, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042,Not for Profit Corporation,40.773228,-73.562088,"(40.773228, -73.562088)"
10430,Park Avenue Health Center,DTC,Diagnostic and Treatment Center,07/06/2020,421 Route 59,,Monsey,New York,10952,7326062553,,,43,Rockland,6,Metropolitan Area Regional Office - New Rochelle,,,4353001R,"KAHR Health, LLC",421 Route 59,,Monsey,New York,10952,,,,,New York,,LLC,41.109013,-74.086359,"(41.109013, -74.086359)"
14711,Elderwood Assisted Living at West Seneca,EHP,Enriched Housing Program,02/05/1998,580 Orchard Park Road,,West Seneca,New York,14224,7166774242,7166770883,,14,Erie,1,Western Regional Office - Buffalo,,,240-S-119,"580 Orchard Park Road Operating Company, Llc",580 Orchard Park Road,,West Seneca,New York,14224,,,,,New York,,LLC,42.831645,-78.777705,"(42.831645, -78.777705)"
3085,Primary Care Annex,HOSP-EC,Hospital Extension Clinic,01/25/1983,5616 6th Avenue,,Brooklyn,New York,11220,8176307300,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.64032,-74.011787,"(40.64032, -74.011787)"
9672,256 Mason Avenue Radiology,HOSP-EC,Hospital Extension Clinic,05/15/2012,256 Mason Avenue,,Staten Island,New York,10305,7182261166,,,7097,Richmond,5,Metropolitan Area Regional Office - New York City,Staten Island University Hosp-North,1740,7004003H,Staten Island University Hospital,256 Mason Avenue,,Staten Island,New York,10305,"Northwell Quality and Medical Affairs, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042,Not for Profit Corporation,40.586643,-74.086708,"(40.586643, -74.086708)"
537,Oceanside Care Center Inc,NH,Residential Health Care Facility - SNF,04/28/1991,2914 Lincoln Avenue,,Oceanside,New York,11572,5165362300,5167632531,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2950314N,Oceanside Care Center Inc,2914 Lincoln Avenue,,Oceanside,New York,11572,,,,,New York,,Business Corporation,40.640358,-73.64209,"(40.640358, -73.64209)"
15212,The Sentinel of Mohegan Lake,AH,Adult Home,08/18/2021,3441 Lexington Avenue,,Mohegan Lake,New York,10547,9146001430,9146001435,www.sentinelalf.com,59,Westchester,5,Metropolitan Area Regional Office - New York City,,,800-F-013,"The Sentinel Of Mohegan Lake, Llc",167 Route 304,,Bardonia,New York,10954,,,,,New York,,LLC,,,
12836,Schenectady County Public Health Services Lhcsa,LHCSA,Licensed Home Care Services Agency,04/21/2005,107 Nott Ter,Ste 304,Schenectady,New York,12308-3170,5183862824,5183825418,www.schenectadycounty.com,46,Schenectady,4,Capital District Regional Office,,,1287L001,Schenectady County,Unknown,,Scotia,New York,12302,,,,,New York,,County,42.813303,-73.934057,"(42.813303, -73.934057)"
1529,William F. Ryan Community Health Center,DTC,Diagnostic and Treatment Center,01/01/1901,110 West 97th Street,,New York,New York,10025,2123167917,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002243R,William F Ryan Community Health Center Inc,110 West 97th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.794228,-73.968834,"(40.794228, -73.968834)"
6076,Troy Internal Medicine,HOSP-EC,Hospital Extension Clinic,10/16/1996,1401 Massachusetts Avenue,,Troy,New York,12180,,,,41,Rensselaer,4,Capital District Regional Office,Samaritan Hospital,756,4102002H,Samaritan Hospital of Troy NY Inc,2215 Burdett Avenue,,Troy,New York,12180,St. Peter's Health Partners,315 South Manning Boulevard,,Albany,New York,12208,Not for Profit Corporation,42.743008,-73.674751,"(42.743008, -73.674751)"
4612,JHS 220 Pershing,HOSP-SB,School Based Hospital Extension Clinic,07/01/1992,4812 9th Ave,,Brooklyn,New York,11220,7186307300,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.640743,-74.000595,"(40.640743, -74.000595)"
13430,Sachem Licensed Home Care Service Agency,LHCSA,Licensed Home Care Services Agency,11/09/2015,1298 Coates Avenue,,Holbrook,New York,11741,6315884554,6315884578,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,2310L001,Sachem Adult Home And Alp Llc,1298 Coates Avenue,,Holbrook,New York,11741,,,,,New York,,LLC,40.797548,-73.081553,"(40.797548, -73.081553)"
12888,All County Health Care Referral Services Of New York,LHCSA,Licensed Home Care Services Agency,12/18/2007,1010 Suffolk Avenue,,Brentwood,New York,11717,6313281117,6313281118,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,1419L001,"Visiting Nurse & Homecare Referral Services Of Bay Shore, Inc.",1010 Suffolk Avenue,,Brentwood,New York,11717,,,,,New York,,Business Corporation,40.783777,-73.232966,"(40.783777, -73.232966)"
1787,HCR / HCR Home Care,CHHA,Certified Home Health Agency,09/27/1979,297 Main Street,Suite 10,Oneonta,New York,13820,5182547092,5188234006,,38,Otsego,4,Capital District Regional Office,,,4724601,"L. Woerner, Inc.",85 Metro Park,,Rochester,New York,14623,,,,,New York,,Business Corporation,42.45564,-75.059975,"(42.45564, -75.059975)"
9509,Rockaway Dialysis,DTC,Diagnostic and Treatment Center,01/11/2013,529 Beach 20th Street,,Far Rockaway,New York,11691,7183274503,7183270043,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,7003279R,Rockaway HD LLC,529 Beach 20 Street,,Far Rockaway,New York,11691,,,,,New York,,LLC,40.600529,-73.754135,"(40.600529, -73.754135)"
778,Pine Valley Center for Rehabilitation and Nursing,NH,Residential Health Care Facility - SNF,04/20/1990,661 N Main St,,Spring Valley,New York,10977,8453560567,8453522704,,43,Rockland,6,Metropolitan Area Regional Office - New Rochelle,,,4353303N,"Pine Valley Center, LLC",39 Mariner Way,,Monsey,New York,10952,,,,,New York,,LLC,41.136238,-74.037163,"(41.136238, -74.037163)"
3501,Sanford R Nalitt Inst for Cancer,HOSP-EC,Hospital Extension Clinic,11/25/1991,256 Mason Avenue,,Staten Island,New York,10305,,,,7097,Richmond,5,Metropolitan Area Regional Office - New York City,Staten Island University Hosp-North,1740,7004003H,Staten Island University Hospital,256 Mason Avenue,,Staten Island,New York,10305,"Northwell Quality and Medical Affairs, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042,Not for Profit Corporation,40.586643,-74.086708,"(40.586643, -74.086708)"
8598,Kaleida Health SB Dental Prog,HOSP-SB,School Based Hospital Extension Clinic,04/24/2008,1095 Jefferson Avenue,,Buffalo,New York,14208,7168839487,,,14,Erie,1,Western Regional Office - Buffalo,Buffalo General Medical Center,207,1401014H,Kaleida Health,100 High Street,,Buffalo,New York,14203,,,,,New York,,Not for Profit Corporation,42.904278,-78.853905,"(42.904278, -78.853905)"
13661,"Caregiver Pro Homecare, Inc.",LHCSA,Licensed Home Care Services Agency,12/28/2018,122-01 Liberty Avenue,2nd Floor,Richmond Hill,New York,11419,7185048054,8662205663,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,2698L001,"Caregiver Pro Homecare, Inc.",122-01 Liberty Avenue,2nd Floor,Richmond Hill,New York,11419,,,,,New York,,Business Corporation,40.687372,-73.821629,"(40.687372, -73.821629)"
9321,Sun River Health Spring Valley,DTC-EC,Diagnostic and Treatment Center Extension Clinic,12/16/2011,2 Pearlman Drive,,Spring Valley,New York,10977,8455739860,8455738965,,43,Rockland,6,Metropolitan Area Regional Office - New Rochelle,Sun River Health,1040,5901200R,"Sun River Health Care, Inc.",1037 Main Street,,Peekskill,New York,10566,,,,,New York,,Not for Profit Corporation,41.105316,-74.032349,"(41.105316, -74.032349)"
602,Planned Parenthood Utica Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,12/01/1999,1424 Genesee Street,,Utica,New York,13502,3157246146,3157240308,,32,Oneida,3,Central New York Regional Office,Planned Parenthood Margaret Sanger Center,1543,7002273R,"Planned Parenthood of Greater New York, Inc.",26 Bleeker Street,,New York,New York,10012,,,,,New York,,Not for Profit Corporation,43.094032,-75.246437,"(43.094032, -75.246437)"
13270,Entire Care Inc.,LHCSA,Licensed Home Care Services Agency,09/12/2016,2899 Ocean Avenue,"2nd Floor, Suite 1",Brooklyn,New York,11235,7184844449,7184838390,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,2057L001,Entire Care Inc.,2899 Ocean Avenue,"2nd Floor, Suite 1",Brooklyn,New York,11235,,,,,New York,,Business Corporation,40.590549,-73.94937,"(40.590549, -73.94937)"
9952,The Steven and Alexandra Cohen Pediatric Long Term Care Pavilion,NH,Residential Health Care Facility - SNF,09/07/2016,95 Bradhurst Avenue,,Valhalla,New York,10595,9148312582,9143473865,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5957305N,Blythedale Childrens Hospital Inc,Bradhurst Avenue,,Valhalla,New York,10595,,,,,New York,,Not for Profit Corporation,41.074072,-73.800032,"(41.074072, -73.800032)"
9782,HIV Primary Care Clinic - Ithaca,HOSP-EC,Hospital Extension Clinic,03/02/2015,521-523 West Seneca Street,,Ithaca,New York,14850,6077374100,,,54,Tompkins,3,Central New York Regional Office,Arnot Ogden Medical Center,116,0701000H,Arnot Ogden Medical Center,600 Roe Avenue,,Elmira,New York,14905,Arnot Health Inc.,600 Roe Avenue,,Elmira,New York,14905,Not for Profit Corporation,42.439798,-76.507607,"(42.439798, -76.507607)"
15097,The New Village View SP LLC,AH,Adult Home,12/21/1984,1 Grove Street,,Highland,New York,12528,8456918399,8456912390,,55,Ulster,5,Metropolitan Area Regional Office - New York City,,,740-F-084,The New Village View SP LLC,1 Grove Street,,Highland,New York,12528-1339,,,,,New York,,LLC,41.720026,-73.966218,"(41.720026, -73.966218)"
13142,"Bnv Home Care Agency, Inc.",LHCSA,Licensed Home Care Services Agency,08/31/2011,500 Willis Avenue,"2nd Floor, Suite A",Bronx,New York,10455,7185855511,7185851001,www.bnvhomecareservices.com,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,1845L002,"Bnv Home Care Agency, Inc.",96-60 Queens Boulevard,,Rego Park,New York,11374,,,,,New York,,Business Corporation,40.814942,-73.918377,"(40.814942, -73.918377)"
10414,Oak Orchard Health Alexander,DTC-EC,Diagnostic and Treatment Center Extension Clinic,06/12/2020,3384 Church Street,,Alexander,New York,14005,,,,18,Genesee,1,Western Regional Office - Buffalo,Oak Orchard Community Health Center,428,2701221R,Oak Orchard Community Health Center Inc,80 West Main Street,,Brockport,New York,14420,,,,,New York,,Not for Profit Corporation,42.902278,-78.257104,"(42.902278, -78.257104)"
10157,U.S. Renal Care Amherst Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,07/02/2018,2880 Sheridan Drive,,Tonawanda,New York,14150,,,,14,Erie,1,Western Regional Office - Buffalo,U.S. Renal Care West Cheektowaga Dialysis,9992,1455204R,"USRC West Cheektowaga, LLC",2861 Harlem Road,,Cheektowaga,New York,14225,,,,,New York,,LLC,42.98148,-78.827171,"(42.98148, -78.827171)"
6433,NYU Langone Perlmutter Cancer Center - Long Island Radiation Therapy Center,HOSP-EC,Hospital Extension Clinic,05/10/2002,264 Old Country Road,,Mineola,New York,11501,5167425576,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.738518,-73.641991,"(40.738518, -73.641991)"
303,The University of Vermont Health Network - Elizabethtown Community Hospital,,Primary Care Hospital - Critical Access Hospital,08/01/1980,75 Park Street,,Elizabethtown,New York,12932,5188736377,,,15,Essex,4,Capital District Regional Office,,,1552701C,Elizabethtown Community Hospital,Park Street,,Elizabeth,New York,12932,"The University of Vermont Health Network, Inc.",111 Colchester Avenue,,Burlington,New York,5401,Not for Profit Corporation,44.215466,-73.596558,"(44.215466, -73.596558)"
5623,Riverside Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,11/28/1994,160 West 100th Street,,New York,New York,10025,2123045429,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York City Department of Health and Mental Hygiene,1339,7002112R,City of New York,250 Church Street,,New York,New York,10013,,,,,New York,,Municipality,40.796234,-73.967621,"(40.796234, -73.967621)"
10239,Surgical Pain Center of the Adirondacks LLC,DTC,Diagnostic and Treatment Center,12/20/2018,470 Tom Miller Road,,Plattsburgh,New York,12901,,,,9,Clinton,4,Capital District Regional Office,,,0901206R,Surgical Pain Center of the Adirondacks LLC,470 Tom Miller Road,,Plattsburgh,New York,12901,,,,,New York,,LLC,44.704899,-73.521612,"(44.704899, -73.521612)"
15074,Brandywine Senior Living at Huntington Terrace,EHP,Enriched Housing Program,04/24/2002,70 Pinelawn Road,,Melville,New York,11747,6315310000,6315310003,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-S-299,Brandywine Senior Living at Huntington Terrace LLC,70 Pinelawn Road,,Melville,New York,11747,,,,,New York,,LLC,40.77999,-73.404576,"(40.77999, -73.404576)"
12941,"Classen Home Health Associates, Inc.",LHCSA,Licensed Home Care Services Agency,10/01/2008,222 Elmira Road,Suite 3,Ithaca,New York,14850,6072771342,6072724611,www.mary@classenhomehealth.com,54,Tompkins,3,Central New York Regional Office,,,1532L001,"Classen Home Health Associates, Inc.",222 Elmira Road,Suite 3,Ithaca,New York,14850,,,,,New York,,Business Corporation,42.429796,-76.506763,"(42.429796, -76.506763)"
15229,Fifth Avenue Surgery Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,07/20/2021,305 East 47th Street,,New York,New York,10017,2127726667,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Fifth Avenue Surgery Center,4295,7002195R,"Fifth Avenue Surgery Center, LLC",1049 Fifth Avenue,,New York,New York,10028,,,,,New York,,LLC,,,
9418,Strong Brockport Clinic,HOSP-EC,Hospital Extension Clinic,07/01/2011,80 West Avenue,,Brockport,New York,14420,,,,27,Monroe,2,Western Regional Office - Rochester,Strong Memorial Hospital,413,2701005H,University of Rochester Inc,601 Elmwood Avenue,,Rochester,New York,14620,,,,,New York,,Not for Profit Corporation,43.220142,-77.940994,"(43.220142, -77.940994)"
7805,Calvary Home Health Agency and Hospice Care,HSPC,Hospice,01/14/1999,1740 Eastchester Road,,Bronx,New York,10461,7185182465,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7003503F,Calvary Hospital Inc.,1740-70 Eastchester Road,,Bronx,New York,10461,,,,,New York,,Not for Profit Corporation,40.847294,-73.844658,"(40.847294, -73.844658)"
12690,Tanglewood Manor,LHCSA,Licensed Home Care Services Agency,02/15/2001,560 Fairmount Avenue,,Jamestown,New York,14701,7164832876,7164832832,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0941L001,"Tanglewood Manor, Inc.",560 Fairmount Avenue,,Jamestown,New York,14701,,,,,New York,,Business Corporation,42.097494,-79.271993,"(42.097494, -79.271993)"
13555,Better Choice Home Care Inc.,LHCSA,Licensed Home Care Services Agency,02/05/2016,7104 18th Avenue,,Brooklyn,New York,11204,7187584936,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,2542L001,Better Choice Home Care Inc.,7104 18th Avenue,,Brooklyn,New York,11204,,,,,New York,,Business Corporation,40.615738,-73.994062,"(40.615738, -73.994062)"
9089,Upstate Orthopedics Ambulatory Surgery Center,DTC,Diagnostic and Treatment Center,12/07/2009,6620 Fly Road,,East Syracuse,New York,13057,3154325960,3154325979,,33,Onondaga,3,Central New York Regional Office,,,3321200R,"Upstate Orthopedics Ambulatory Surgery Center, LLC",6620 Fly Road,,East Syracuse,New York,13057,,,,,New York,,LLC,43.091747,-76.059219,"(43.091747, -76.059219)"
449,Wesley Gardens Corporation,NH,Residential Health Care Facility - SNF,02/01/1989,3 Upton Park,,Rochester,New York,14607,5852412100,,,27,Monroe,2,Western Regional Office - Rochester,,,2701352N,Wesley Gardens Corporation,3 Upton Park,,Rochester,New York,14607,,,,,New York,,Not for Profit Corporation,43.154247,-77.586456,"(43.154247, -77.586456)"
14988,Sunrise of New City,AH,Adult Home,12/01/2012,233 North Main Street,,New City,New York,10956,8457087855,8457087858,,43,Rockland,5,Metropolitan Area Regional Office - New York City,,,620-F-089,"SZR New York LH, Inc.",4701 Cox Road #301,,Glen Allen,New York,23060,,,,,New York,,Business Corporation,41.159429,-73.989236,"(41.159429, -73.989236)"
12477,Helping Hands,LHCSA,Licensed Home Care Services Agency,05/17/1989,5 Centre St,Ste 3,Hempstead,New York,11550-2483,5164896810,5164814131,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,0034L001,"Homemaking Services For Chronically Ill, Inc.",5 Centre Street,,Hempstead,New York,11550-2483,,,,,New York,,Business Corporation,40.708841,-73.627285,"(40.708841, -73.627285)"
6839,Maimonides Sleep Disorder Clinic,HOSP-EC,Hospital Extension Clinic,01/19/2005,6405 7th Avenue,,Brooklyn,New York,11219,7182832900,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,Maimonides Medical Center,1305,7001020H,Maimonides Medical Center,4802 Tenth Ave,,Brooklyn,New York,11219,,,,,New York,,Not for Profit Corporation,40.634457,-74.014145,"(40.634457, -74.014145)"
6600,UHCC-POB,HOSP-EC,Hospital Extension Clinic,10/07/2002,725 Irving Avenue,,Syracuse,New York,13210,,,,33,Onondaga,3,Central New York Regional Office,University Hospital SUNY Health Science Center,635,3301007H,State University of New York,178-50 Linden Blvd,,Jamaica,New York,11434,,,,,New York,,State,43.041451,-76.137779,"(43.041451, -76.137779)"
